scale	method	correlation	p_value
raw	Pearson	0.983354924667452	9.06884425727372e-27
raw	Spearman	0.957528957528958	6.12896669308238e-20
log10-log10	Pearson	0.981619206491404	4.83220754072711e-26
log10-log10	Spearman	0.957528957528958	6.12896669308238e-20
