breadth_group	n_genes	mean_expression_breadth	median_expression_breadth	min_expression_breadth	max_expression_breadth	mean_gene_length_bp	median_gene_length_bp	variance_gene_length_bp	sd_gene_length_bp	mean_log10_gene_length_bp	median_log10_gene_length_bp	variance_log10_gene_length_bp	sd_log10_gene_length_bp	mean_sd_log10_nTPM_plus1	median_sd_log10_nTPM_plus1	mean_variance_log10_nTPM_plus1	median_variance_log10_nTPM_plus1	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues
restricted non-HK	4188	4.25143266475645	3	1	11	63989.9479465139	18999	20854734869.9581	144411.685364994	4.27954142769726	4.2787307421454	0.478717840605774	0.691894385441719	0.27485942131553	0.180694913225136	0.181732116007622	0.0326506877630895	37.2335104386752	3.2
intermediate non-HK	4741	26.3393798776629	28	12	35	95790.9886099979	33503	34431600236.8391	185557.538884409	4.53120590347506	4.52508369733867	0.416196113080911	0.645132632162496	0.33431915548716	0.296205364415322	0.146605260913752	0.0877376179084136	38.1390728889498	3.5
broad non-HK	7230	36	36	36	36	71814.9459197787	36971.5	11133180705.2206	105513.888684005	4.55672498254579	4.56786706432393	0.278203965304744	0.527450438718885	0.209508739630946	0.176498859877459	0.057524528298616	0.0311518475999723	34.8882119256186	11.4
HK	2172	35.9387661141805	36	1	36	39014.135359116	22800.5	2632432357.46394	51307.2349426856	4.33246551895337	4.35794412017262	0.246713111241284	0.496702235993844	0.158690570912777	0.149093809742761	0.0287259115323001	0.0222289641420496	129.483798589502	34.325
