hk_status	n_genes	mean_expression_breadth	median_expression_breadth	variance_expression_breadth	sd_expression_breadth	mean_gene_length_bp	median_gene_length_bp	variance_gene_length_bp	sd_gene_length_bp	mean_log10_gene_length_bp	median_log10_gene_length_bp	mean_sd_log10_nTPM_plus1	median_sd_log10_nTPM_plus1	mean_variance_log10_nTPM_plus1	median_variance_log10_nTPM_plus1
HK	2172	35.9387661141805	36	1.60702712721603	1.26768573677234	39014.135359116	22800.5	2632432357.46394	51307.2349426856	4.33246551895337	4.35794412017262	0.158690570912777	0.149093809742761	0.0287259115323001	0.0222289641420496
non-HK	16159	24.9371867070982	35	186.941158838204	13.6726427159567	76821.4021907296	31164	20645073952.6852	143683.937698983	4.47739886820827	4.49365319567693	0.263064952049372	0.213685949116193	0.11585197001244	0.045661684849688
