fixed_breadth_group	n_genes	mean_expression_breadth	median_expression_breadth	min_expression_breadth	max_expression_breadth	mean_gene_length_bp	median_gene_length_bp	sd_gene_length_bp	mean_log10_gene_length_bp	median_log10_gene_length_bp	sd_log10_gene_length_bp	mean_sd_log10_nTPM_plus1	median_sd_log10_nTPM_plus1	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues
restricted non-HK fixed	2790	2.1505376344086	2	1	5	48004.1781362007	15951.5	110172.768999672	4.19283633627923	4.20280152629392	0.676452862104835	0.230940491336579	0.0380413856891532	42.3457891278375	3.8
intermediate non-HK fixed	3981	16.1363978899774	15	6	29	98206.5561416729	30385	195282.514253806	4.50091478845756	4.48265924068334	0.668524913593652	0.355389008248988	0.31106471688992	27.552369807555	2.75
broad non-HK fixed	9388	35.4410950149127	36	30	36	76317.115573072	36524	123775.293184493	4.55199543676064	4.56257833150421	0.55352926416328	0.233461754100717	0.198557802352237	38.4706351337198	9.2
HK	2172	35.9387661141805	36	1	36	39014.135359116	22800.5	51307.2349426856	4.33246551895337	4.35794412017262	0.496702235993844	0.158690570912777	0.149093809742761	129.483798589502	34.325
