Tissue	n_expressed_genes	mean_gene_length_bp	cutoff	cutoff_label
cervix	4335	44892.4791234141	20	nTPM >= 20
colon	4724	47425.5893310754	20	nTPM >= 20
endometrium	3945	48148.1424588086	20	nTPM >= 20
esophagus	4388	43466.1697812215	20	nTPM >= 20
fallopian tube	3809	43325.6001575217	20	nTPM >= 20
heart muscle	4749	52381.7304695725	20	nTPM >= 20
hippocampal formation	4142	56818.1199903428	20	nTPM >= 20
hypothalamus	3991	52807.969681784	20	nTPM >= 20
kidney	4484	43612.2997323818	20	nTPM >= 20
liver	4714	42976.5335171829	20	nTPM >= 20
lung	4090	46003.2283618582	20	nTPM >= 20
midbrain	4099	54347.9092461576	20	nTPM >= 20
ovary	3967	46934.8444668515	20	nTPM >= 20
pancreas	4020	41665.5166666667	20	nTPM >= 20
pituitary gland	3752	41603.4776119403	20	nTPM >= 20
prostate	3872	40945.9785640496	20	nTPM >= 20
retina	3396	70793.7835689046	20	nTPM >= 20
salivary gland	4053	42066.304219097	20	nTPM >= 20
skeletal muscle	4814	54558.5851682592	20	nTPM >= 20
skin	4462	44016.1333482743	20	nTPM >= 20
small intestine	4128	41596.3706395349	20	nTPM >= 20
spinal cord	3994	54166.2774161242	20	nTPM >= 20
spleen	4176	40118.5189176245	20	nTPM >= 20
stomach	4165	42508.224729892	20	nTPM >= 20
testis	4046	42790.268907563	20	nTPM >= 20
thyroid gland	3849	44490.2179786958	20	nTPM >= 20
urinary bladder	4025	46813.5145341615	20	nTPM >= 20
vagina	4089	43821.7544631939	20	nTPM >= 20
