cutoff	raw_mean_variance_pearson_r	raw_mean_variance_pearson_p	raw_mean_variance_spearman_rho	raw_mean_variance_spearman_p	log_mean_variance_pearson_r	log_mean_variance_pearson_p	log_mean_variance_spearman_rho	log_mean_variance_spearman_p	log_log_slope	log_log_R2	log_log_slope_p	mean_cv_pearson_r	mean_cv_pearson_p	mean_cv_spearman_rho	mean_cv_spearman_p	count_mean_pearson_r	count_mean_pearson_p	count_mean_spearman_rho	count_mean_spearman_p
1	0.983354924667452	9.06884425727372e-27	0.957528957528958	6.12896669308238e-20	0.981619206491404	4.83220754072711e-26	0.957528957528958	6.12896669308238e-20	3.04552466110545	0.963576266552815	4.83220754072295e-26	0.867965054073917	7.17161299444519e-12	0.835778635778636	2.25474984689261e-10	0.250877084114635	0.139981671910594	0.254568854568855	0.13405082198116
5	0.959145256043985	3.20874222874469e-20	0.957528957528958	6.12896669308238e-20	0.963838976117498	4.17808903690413e-21	0.957528957528958	6.12896669308238e-20	3.39430329785072	0.928985571883223	4.17808903690883e-21	0.816437710773391	1.27732990800966e-09	0.814414414414415	1.51356433122605e-09	-0.145825471737155	0.396090540943804	-0.0166033850655929	0.923432392254546
10	0.941915691178654	1.11273258118622e-17	0.971943371943372	5.94937632721427e-23	0.952306140776639	4.22841148588128e-19	0.971943371943372	5.94937632721427e-23	3.28633183370858	0.906886985760901	4.22841148587751e-19	0.750026859702657	1.39614745265851e-07	0.745431145431146	1.82998697588039e-07	-0.144037004123836	0.40197158146406	0.0247120149813476	0.886242014724941
20	0.945532148860448	3.83662625638263e-18	0.923294723294723	1.08745438452965e-15	0.951652265817661	5.30293810753576e-19	0.923294723294723	1.08745438452965e-15	3.34812880858024	0.90564203503589	5.30293810753414e-19	0.767561727198769	4.70361894093888e-08	0.642728442728443	2.37024738685699e-05	0.0573712544035684	0.739622685774402	0.238754103074999	0.160812531626848
