model	R2	RMSE	AIC
Linear	0.966986907867731	0.0530211286563015	-103.305090559743
Power law	0.963101645587124	0.0560543557333215	-99.2996319152525
Exponential	0.957826938317722	0.0599271234723499	-94.4895022020935
