cutoff	intercept	slope	R2	p_value
1	-4.60123983330602	3.04552466110545	0.963576266552815	4.83220754072295e-26
5	-6.26279973481823	3.39430329785072	0.928985571883223	4.17808903690883e-21
10	-5.66863764477431	3.28633183370858	0.906886985760901	4.22841148587751e-19
20	-5.85264568823769	3.34812880858024	0.90564203503589	5.30293810753414e-19
