original_hk_gene_id	mapping_status	candidate_ids	candidate_count	local_gene_biotype	api_release	api_latest	api_is_current	api_request_status	notes
ENSPTRG00000002610	candidate_not_in_local_release115_gtf	ENSPTRG00000002610	1		90	ENSPTRG00000002610.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002622	candidate_not_in_local_release115_gtf	ENSPTRG00000002622	1		64	ENSPTRG00000002622.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002657	candidate_not_in_local_release115_gtf	ENSPTRG00000002657	1		64	ENSPTRG00000002657.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002699	replacement_not_protein_coding	ENSPTRG00000002699	1	processed_pseudogene	116	ENSPTRG00000002699.5	1	success	Candidate exists in local Ensembl 115 GTF but is not protein_coding
ENSPTRG00000002817	candidate_not_in_local_release115_gtf	ENSPTRG00000002817	1		90	ENSPTRG00000002817.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002844	candidate_not_in_local_release115_gtf	ENSPTRG00000002844	1		64	ENSPTRG00000002844.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002872	candidate_not_in_local_release115_gtf	ENSPTRG00000002872	1		64	ENSPTRG00000002872.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003105	candidate_not_in_local_release115_gtf	ENSPTRG00000003105	1		64	ENSPTRG00000003105.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003136	candidate_not_in_local_release115_gtf	ENSPTRG00000003136	1		64	ENSPTRG00000003136.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003141	candidate_not_in_local_release115_gtf	ENSPTRG00000003141	1		90	ENSPTRG00000003141.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003159	candidate_not_in_local_release115_gtf	ENSPTRG00000003159	1		90	ENSPTRG00000003159.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003301	candidate_not_in_local_release115_gtf	ENSPTRG00000003301	1		90	ENSPTRG00000003301.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003395	candidate_not_in_local_release115_gtf	ENSPTRG00000003395	1		64	ENSPTRG00000003395.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003475	candidate_not_in_local_release115_gtf	ENSPTRG00000003475	1		64	ENSPTRG00000003475.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003508	candidate_not_in_local_release115_gtf	ENSPTRG00000003508	1		90	ENSPTRG00000003508.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003730	candidate_not_in_local_release115_gtf	ENSPTRG00000003730	1		64	ENSPTRG00000003730.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003778	candidate_not_in_local_release115_gtf	ENSPTRG00000003778	1		64	ENSPTRG00000003778.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003786	candidate_not_in_local_release115_gtf	ENSPTRG00000003786	1		90	ENSPTRG00000003786.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003793	candidate_not_in_local_release115_gtf	ENSPTRG00000003793	1		64	ENSPTRG00000003793.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003810	candidate_not_in_local_release115_gtf	ENSPTRG00000003810	1		64	ENSPTRG00000003810.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003862	candidate_not_in_local_release115_gtf	ENSPTRG00000003862	1		64	ENSPTRG00000003862.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003875	candidate_not_in_local_release115_gtf	ENSPTRG00000003875	1		64	ENSPTRG00000003875.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003906	candidate_not_in_local_release115_gtf	ENSPTRG00000003906	1		64	ENSPTRG00000003906.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000003952	candidate_not_in_local_release115_gtf	ENSPTRG00000003952	1		64	ENSPTRG00000003952.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004006	candidate_not_in_local_release115_gtf	ENSPTRG00000004006	1		64	ENSPTRG00000004006.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004026	candidate_not_in_local_release115_gtf	ENSPTRG00000004026	1		64	ENSPTRG00000004026.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004050	candidate_not_in_local_release115_gtf	ENSPTRG00000004050	1		90	ENSPTRG00000004050.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004070	candidate_not_in_local_release115_gtf	ENSPTRG00000004070	1		90	ENSPTRG00000004070.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004104	candidate_not_in_local_release115_gtf	ENSPTRG00000004104	1		64	ENSPTRG00000004104.1		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004111	candidate_not_in_local_release115_gtf	ENSPTRG00000004111	1		90	ENSPTRG00000004111.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004150	candidate_not_in_local_release115_gtf	ENSPTRG00000004150	1		90	ENSPTRG00000004150.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004282	candidate_not_in_local_release115_gtf	ENSPTRG00000004282	1		90	ENSPTRG00000004282.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004331	candidate_not_in_local_release115_gtf	ENSPTRG00000004331	1		90	ENSPTRG00000004331.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004366	candidate_not_in_local_release115_gtf	ENSPTRG00000004366	1		64	ENSPTRG00000004366.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004600	candidate_not_in_local_release115_gtf	ENSPTRG00000004600	1		90	ENSPTRG00000004600.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004603	candidate_not_in_local_release115_gtf	ENSPTRG00000004603	1		64	ENSPTRG00000004603.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004670	candidate_not_in_local_release115_gtf	ENSPTRG00000004670	1		64	ENSPTRG00000004670.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004679	candidate_not_in_local_release115_gtf	ENSPTRG00000004679	1		90	ENSPTRG00000004679.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004926	candidate_not_in_local_release115_gtf	ENSPTRG00000004926	1		90	ENSPTRG00000004926.1		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000004997	candidate_not_in_local_release115_gtf	ENSPTRG00000004997	1		64	ENSPTRG00000004997.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005091	candidate_not_in_local_release115_gtf	ENSPTRG00000005091	1		64	ENSPTRG00000005091.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005110	candidate_not_in_local_release115_gtf	ENSPTRG00000005110	1		64	ENSPTRG00000005110.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005127	candidate_not_in_local_release115_gtf	ENSPTRG00000005127	1		64	ENSPTRG00000005127.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000005191	candidate_not_in_local_release115_gtf	ENSPTRG00000005191	1		90	ENSPTRG00000005191.5		success	Archive candidate was not found in the local Ensembl 115 GTF
